exam_system,section,region_or_subsection,maneuver_or_finding,source_item,patient_instruction_or_setup,examiner_technique,how_to_perform,observe_or_positive_finding,function_or_clinical_use,suggested_checklist_label,suggested_options,include_when,exam_id
HEENT,Eyes,Eyes,Inspect sclerae and conjunctivae,HEENT 2,Look up while lower lids are pulled down,Inspect sclerae and conjunctivae,"Set up or position the patient: Look up while lower lids are pulled down. Perform the maneuver: Inspect sclerae and conjunctivae. Assess and document: Injection, pallor, icterus, discharge.","Injection, pallor, icterus, discharge","Screens anemia, jaundice, conjunctivitis",Sclerae and conjunctivae,Normal / Icteric / Pale / Injected / Discharge,HEENT; anemia; jaundice; eye symptoms,heent_eyes_eyes_inspect_sclerae_and_conjunctivae
HEENT,Eyes,Eyes,Ophthalmoscope red reflex/fundus,HEENT 3,Look at a distant point,Dim lights; stand 1-2 feet away and about 15 degrees lateral; use right hand/right eye for right eye and left hand/left eye for left eye; observe red reflex and follow toward patient to 1-2 inches,Set up or position the patient: Look at a distant point. Perform the maneuver: Dim lights; stand 1-2 feet away and about 15 degrees lateral; use right hand/right eye for right eye and left hand/left eye for left eye; observe red reflex and follow toward patient to 1-2 inches. Assess and document: Red reflex or fundus abnormality.,Red reflex or fundus abnormality,Screens ocular media and posterior eye when feasible,Ophthalmoscopic exam,Red reflex present / Abnormal / Unable,Vision symptoms; diabetes; hypertension; neuro/HEENT exam,heent_eyes_eyes_ophthalmoscope_red_reflex_fundus
HEENT,Ears,External ears,Inspect external ears,HEENT 4,Sit comfortably,Inspect external ears bilaterally; bend pinna to inspect behind each ear,"Set up or position the patient: Sit comfortably. Perform the maneuver: Inspect external ears bilaterally; bend pinna to inspect behind each ear. Assess and document: Lesions, tenderness, deformity, discharge.","Lesions, tenderness, deformity, discharge",Screens external ear pathology,External ears,Normal / Tender / Lesion / Discharge / Deformity,Ear symptoms; HEENT exam,heent_ears_external_ears_inspect_external_ears
HEENT,Ears,Ear canals and TMs,Ear otoscope,HEENT 5,Sit still,Place clean speculum; pull pinna up and back; gently insert into canal center; observe tympanic membrane; repeat other ear,"Set up or position the patient: Sit still. Perform the maneuver: Place clean speculum; pull pinna up and back; gently insert into canal center; observe tympanic membrane; repeat other ear. Assess and document: Cerumen, erythema, effusion, perforation, abnormal TM.","Cerumen, erythema, effusion, perforation, abnormal TM",Screens ear canal and tympanic membrane,Otoscope exam,Normal / Cerumen / Erythema / Effusion / Abnormal TM / Unable,Ear pain; hearing loss; infection,heent_ears_ear_canals_and_tms_ear_otoscope
HEENT,Nose,Nares,Nose otoscope,HEENT 6,Tilt head up,Place clean speculum; stabilize head and thumb on nose tip; gently insert into naris; observe; repeat other naris,"Set up or position the patient: Tilt head up. Perform the maneuver: Place clean speculum; stabilize head and thumb on nose tip; gently insert into naris; observe; repeat other naris. Assess and document: Congestion, discharge, bleeding, lesions.","Congestion, discharge, bleeding, lesions",Screens nasal mucosa and obstruction,Nasal exam,Normal / Congestion / Rhinorrhea / Epistaxis / Lesion,Nasal symptoms; URI; epistaxis,heent_nose_nares_nose_otoscope
HEENT,Nose,Sinuses,Frontal and maxillary sinus palpation,HEENT 7,Tell examiner if tenderness occurs,Palpate frontal sinuses above each eye and maxillary sinuses below each eye bilaterally,Set up or position the patient: Tell examiner if tenderness occurs. Perform the maneuver: Palpate frontal sinuses above each eye and maxillary sinuses below each eye bilaterally. Assess and document: Tenderness.,Tenderness,Screens sinus tenderness,Sinus tenderness,Absent / Frontal / Maxillary / Diffuse,Sinus symptoms; headache; URI,heent_nose_sinuses_frontal_and_maxillary_sinus_palpation
HEENT,Mouth,Mouth,Inspect mouth,HEENT 8,Open mouth; touch tip of tongue to roof of mouth,"Use tongue blade and light; inspect gingivae, dentition, and subglossal area","Set up or position the patient: Open mouth; touch tip of tongue to roof of mouth. Perform the maneuver: Use tongue blade and light; inspect gingivae, dentition, and subglossal area. Assess and document: Poor dentition, lesions, bleeding, dry mucosa.","Poor dentition, lesions, bleeding, dry mucosa",Screens oral cavity,Mouth exam,Normal / Dry mucosa / Lesions / Poor dentition / Bleeding,HEENT; dehydration; infection; oral symptoms,heent_mouth_mouth_inspect_mouth
HEENT,Mouth,Oropharynx,Inspect oropharynx,HEENT 9,Open mouth,"Use tongue blade and light; inspect posterior pharynx, uvula, tonsils","Set up or position the patient: Open mouth. Perform the maneuver: Use tongue blade and light; inspect posterior pharynx, uvula, tonsils. Assess and document: Erythema, exudate, swelling, uvular deviation.","Erythema, exudate, swelling, uvular deviation",Screens pharyngeal/tonsillar pathology,Oropharynx,Clear / Erythematous / Exudate / Swollen / Uvula deviated,Sore throat; infection; airway concerns,heent_mouth_oropharynx_inspect_oropharynx
HEENT,Lymph Nodes and Thyroid,Lymph nodes,Preauricular lymph nodes,HEENT 10,Relax neck,Use two fingers in circular motions bilaterally on skin in front of ear,Set up or position the patient: Relax neck. Perform the maneuver: Use two fingers in circular motions bilaterally on skin in front of ear. Assess and document: Lymphadenopathy or tenderness.,Lymphadenopathy or tenderness,Screens regional lymph nodes,Preauricular nodes,Not enlarged / Enlarged / Tender,HEENT infection; malignancy concern,heent_lymph_nodes_and_thyroid_lymph_nodes_preauricular_lymph_nodes
HEENT,Lymph Nodes and Thyroid,Lymph nodes,Posterior auricular lymph nodes,HEENT 10,Relax neck,Palpate behind ear bilaterally,Set up or position the patient: Relax neck. Perform the maneuver: Palpate behind ear bilaterally. Assess and document: Lymphadenopathy or tenderness.,Lymphadenopathy or tenderness,Screens regional lymph nodes,Posterior auricular nodes,Not enlarged / Enlarged / Tender,HEENT infection,heent_lymph_nodes_and_thyroid_lymph_nodes_posterior_auricular_lymph_nodes
HEENT,Lymph Nodes and Thyroid,Lymph nodes,Occipital lymph nodes,HEENT 10,Relax neck,Palpate base of skull bilaterally,Set up or position the patient: Relax neck. Perform the maneuver: Palpate base of skull bilaterally. Assess and document: Lymphadenopathy or tenderness.,Lymphadenopathy or tenderness,Screens regional lymph nodes,Occipital nodes,Not enlarged / Enlarged / Tender,Scalp infection; HEENT exam,heent_lymph_nodes_and_thyroid_lymph_nodes_occipital_lymph_nodes
HEENT,Lymph Nodes and Thyroid,Lymph nodes,Tonsillar lymph nodes,HEENT 10,Relax jaw/neck,Palpate angle of jaw bilaterally,Set up or position the patient: Relax jaw/neck. Perform the maneuver: Palpate angle of jaw bilaterally. Assess and document: Lymphadenopathy or tenderness.,Lymphadenopathy or tenderness,Screens regional lymph nodes,Tonsillar nodes,Not enlarged / Enlarged / Tender,Throat infection; HEENT exam,heent_lymph_nodes_and_thyroid_lymph_nodes_tonsillar_lymph_nodes
HEENT,Lymph Nodes and Thyroid,Lymph nodes,Submandibular lymph nodes,HEENT 10,Relax jaw/neck,Palpate along jaw bilaterally,Set up or position the patient: Relax jaw/neck. Perform the maneuver: Palpate along jaw bilaterally. Assess and document: Lymphadenopathy or tenderness.,Lymphadenopathy or tenderness,Screens regional lymph nodes,Submandibular nodes,Not enlarged / Enlarged / Tender,Oral/throat infection; HEENT exam,heent_lymph_nodes_and_thyroid_lymph_nodes_submandibular_lymph_nodes
HEENT,Lymph Nodes and Thyroid,Lymph nodes,Submental lymph nodes,HEENT 10,Relax jaw/neck,Palpate under chin,Set up or position the patient: Relax jaw/neck. Perform the maneuver: Palpate under chin. Assess and document: Lymphadenopathy or tenderness.,Lymphadenopathy or tenderness,Screens regional lymph nodes,Submental nodes,Not enlarged / Enlarged / Tender,Oral infection; HEENT exam,heent_lymph_nodes_and_thyroid_lymph_nodes_submental_lymph_nodes
HEENT,Lymph Nodes and Thyroid,Lymph nodes,Anterior cervical lymph nodes,HEENT 10,Relax neck,Palpate down in front of SCM bilaterally,Set up or position the patient: Relax neck. Perform the maneuver: Palpate down in front of SCM bilaterally. Assess and document: Lymphadenopathy or tenderness.,Lymphadenopathy or tenderness,Screens cervical nodes,Anterior cervical nodes,Not enlarged / Enlarged / Tender,Infection; malignancy; HEENT exam,heent_lymph_nodes_and_thyroid_lymph_nodes_anterior_cervical_lymph_nodes
HEENT,Lymph Nodes and Thyroid,Lymph nodes,Posterior cervical lymph nodes,HEENT 10,Relax neck,Palpate down behind SCM bilaterally,Set up or position the patient: Relax neck. Perform the maneuver: Palpate down behind SCM bilaterally. Assess and document: Lymphadenopathy or tenderness.,Lymphadenopathy or tenderness,Screens cervical nodes,Posterior cervical nodes,Not enlarged / Enlarged / Tender,Infection; malignancy; HEENT exam,heent_lymph_nodes_and_thyroid_lymph_nodes_posterior_cervical_lymph_nodes
HEENT,Lymph Nodes and Thyroid,Lymph nodes,Supraclavicular lymph nodes,HEENT 10,Relax shoulders,Palpate above clavicle starting centrally and fanning outward,Set up or position the patient: Relax shoulders. Perform the maneuver: Palpate above clavicle starting centrally and fanning outward. Assess and document: Lymphadenopathy or tenderness.,Lymphadenopathy or tenderness,Screens supraclavicular nodes,Supraclavicular nodes,Not enlarged / Enlarged / Tender,Malignancy/infection concern; HEENT exam,heent_lymph_nodes_and_thyroid_lymph_nodes_supraclavicular_lymph_nodes
HEENT,Lymph Nodes and Thyroid,Thyroid,Thyroid inspection and palpation,HEENT 11,Swallow when asked,Inspect from front while swallowing; palpate from behind below cricoid cartilage over both lobes while swallowing,"Set up or position the patient: Swallow when asked. Perform the maneuver: Inspect from front while swallowing; palpate from behind below cricoid cartilage over both lobes while swallowing. Assess and document: Thyromegaly, nodules, tenderness, asymmetry.","Thyromegaly, nodules, tenderness, asymmetry",Screens thyroid enlargement or nodules,Thyroid exam,Normal / Enlarged / Nodule / Tender / Asymmetric,Thyroid disease; neck mass; endocrine exam,heent_lymph_nodes_and_thyroid_thyroid_thyroid_inspection_and_palpation
Abdomen,Setup,Positioning,Positioning and draping,Abdomen 1,Lie supine; raise gown with permission; drape waist and legs,Flatten table; lift foot extension; expose abdomen xiphoid to symphysis pubis; stand on right side,Set up or position the patient: Lie supine; raise gown with permission; drape waist and legs. Perform the maneuver: Flatten table; lift foot extension; expose abdomen xiphoid to symphysis pubis; stand on right side. Assess and document: Appropriate exposure and comfort.,Appropriate exposure and comfort,Ensures proper abdominal exam setup,Abdominal exam setup,Completed / Limited / Deferred,Abdominal exam,abdomen_setup_positioning_positioning_and_draping
Abdomen,Core Exam,Inspection,Inspect abdomen,Abdomen 2,Lie supine,Inspect abdomen,"Set up or position the patient: Lie supine. Perform the maneuver: Inspect abdomen. Assess and document: Distension, scars, lesions, asymmetry.","Distension, scars, lesions, asymmetry",Screens abdominal appearance,Abdominal inspection,Flat / Distended / Scar / Lesion / Asymmetric,Abdominal pain; GI/GU exam,abdomen_core_exam_inspection_inspect_abdomen
Abdomen,Core Exam,Auscultation,Auscultate abdomen,Abdomen 3,Lie still,Auscultate before percussion/palpation with diaphragm in one quadrant at least 10 seconds,"Set up or position the patient: Lie still. Perform the maneuver: Auscultate before percussion/palpation with diaphragm in one quadrant at least 10 seconds. Assess and document: Absent, hypoactive, hyperactive sounds.","Absent, hypoactive, hyperactive sounds",Screens bowel sounds,Bowel sounds,Present / Hypoactive / Hyperactive / Absent,Abdominal pain; obstruction/ileus concern,abdomen_core_exam_auscultation_auscultate_abdomen
Abdomen,Core Exam,Percussion,Percuss abdomen,Abdomen 4,Tell examiner if pain occurs,"If pain present, start away from painful area; percuss all 4 quadrants","Set up or position the patient: Tell examiner if pain occurs. Perform the maneuver: If pain present, start away from painful area; percuss all 4 quadrants. Assess and document: Tympany, dullness, pain.","Tympany, dullness, pain",Screens gas/fluid/organ dullness,Abdominal percussion,Tympanic / Dullness / Tender / Not done,Abdominal pain; ascites/organomegaly concern,abdomen_core_exam_percussion_percuss_abdomen
